Position,Artist,Song Title,Year
1,Domenico Modugno,Volare (Nel Blu Dipinto Di Blu),1958
2,Everly Brothers,All I Have To Do Is Dream / Claudette,1958
3,Elvis Presley,Don't / I Beg Of You,1958
4,David Seville,Witch Doctor,1958
5,Perez Prado,Patricia,1958
6,Billy Vaughn,Sail Along Silvery Moon / Raunchy,1958
7,Perry Como,Catch A Falling Star / Magic Moments,1958
8,Champs,Tequila,1958
9,Tommy Edwards,It's All In The Game,1958
10,Dean Martin,Return To Me,1958
11,Conway Twitty,It's Only Make Believe,1958
12,Sheb Wooley,The Purple People Eater,1958
13,Everly Brothers,Bird Dog / Devoted To You,1958
14,Silhouettes,Get A Job,1958
15,Elegants,Little Star,1958
16,Ricky Nelson,Stood Up / Waitin' In School,1958
17,Laurie London,He's Got The Whole World In His Hands,1958
18,Platters,Twilight Time,1958
19,Jimmie Rodgers,Secretly,1958
20,Danny and The Juniors,At The Hop,1958
21,Coasters,Yakety Yak,1958
22,Elvis Presley,Wear My Ring Around Your Neck / Doncha' Think It's Time,1958
23,Ricky Nelson,Poor Little Fool,1958
24,Pat Boone,Wonderful Time Up There / It's Too Soon To Know,1958
25,Jimmy Clanton,Just A Dream,1958
26,McGuire Sisters,Sugartime,1958
27,Bobby Day,Rockin Robbin / Over And Over,1958
28,Kingston Trio,Tom Dooley,1958
29,Chuck Berry,Sweet Little Sixteen,1958
30,Cozy Cole,Topsy II / Topsy I,1958
31,Nat King Cole,Looking Back / Do I Like It,1958
32,Monotones,Book Of Love,1958
33,Tommy Dorsey Orch. and Warren Covington,Tea For Two Cha Cha,1958
34,Little Anthony and The Imperials,Tears On My Pillow,1958
35,Royal Teens,Short Shorts,1958
36,Jerry Lee Lewis,Great Balls Of Fire,1958
37,Chordettes,Lollipop,1958
38,Bobby Darin,Splish Splash,1958
39,Connie Francis,Who's Sorry Now,1958
40,Jack Scott,My True Love / Leroy,1958
41,Jody Reynolds,Endles Sleep,1958
42,Bobby Freeman,Do You Want To Dance?,1958
43,Kalin Twins,When,1958
44,Teddy Bears,To Know Him Is To Love Him,1958
45,Pat Boone,April Love,1958
46,Duane Eddy,Rebel-'Rouser,1958
47,Crescendos,Oh Julie,1958
48,Diamonds,The Stroll,1958
49,Elvis Presley,Hard-Headed Woman / Don't Ask Me Why,1958
50,Buddy Holly,Peggy Sue,1958
51,Don Gibson,Oh Lonesome Me,1958
52,Big Bopper,Chantilly Lace,1958
53,Rick Nelson,Lonesome Town,1958
54,Frank Sinatra,All the Way,1958
55,Elvis Presley,One Night,1958
56,Robin Luke,Susie Darlin',1958
57,Four Preps,26 Miles,1958
58,Earl Grant,The End,1958
59,Jimmie Rodgers,Kisses Sweeter Than Wine,1958
60,Playmates,Beep Beep (The Little Nash Rambler),1958
61,Mitch Miller,March From the River Kwai and Colonel Bogey March,1958
62,Everly Brothers,Problems,1958
63,Bobby Darin,Queen of the Hop,1958
64,Will Glahe,Liechtensteiner Polka,1958
65,Elvis Presley,I Got Stung,1958
66,Andy Williams,Are You Sincere,1958
67,Ricky Nelson,I Got a Feeling,1958
68,Poni Tails,Born Too Late,1958
69,Johnny Otis Show,Willie and the Hand Jive,1958
70,Four Preps,Big Man,1958
71,Crickets,Oh Boy,1958
72,Chuck Willis,What Am I Living For,1958
73,Chuck Berry,Johnny B Goode,1958
74,Eddie Cochran,Summertime Blues,1958
75,Roger Williams,Near You,1958
76,Peggy Lee,Fever,1958
77,Ed Townsend,For Your Love,1958
78,Paul Anka,You Are My Destiny,1958
79,Art and Dotty Todd,Chanson D'Amour,1958
80,Lou Monte,Lazy Mary,1958
81,Johnny Cash,Ballad of a Teenage Queen,1958
82,Pat Boone,It's Too Soon to Know,1958
83,Jimmy McCracklin,The Walk,1958
84,Perry Como,Kewpie Doll,1958
85,George Hamilton Iv,Why Don't They Understand,1958
86,Frankie Avalon,Dede Dinah,1958
87,Pat Boone,Sugar Moon,1958
88,Everly Brothers,Devoted to You,1958
89,Chantels,Maybe,1958
90,Kathy Linden,Billy,1958
91,Johnny Cash,Guess Things Happen That Way,1958
92,Olympics,Western Movies,1958
93,Roy Hamilton,Don't Let Go,1958
94,Hollywood Flames,Buzz-Buzz-Buzz,1958
95,Jerry Lee Lewis,Breathless,1958
96,Jan and Arnie,Jennie Lee,1958
97,Royaltones,Poor Boy,1958
98,Marty Robins,The Story of My Life,1958
99,Frankie Avalon,I'll Wait For You,1958
100,Frankie Avalon,Ginger Bread,1958
