Position,Artist,Song Title,Year
1,Perez Prado,Cherry Pink And Apple Blossom White,1955
2,Bill Haley and His Comets,Rock Around The Clock,1955
3,Mitch Miller,The Yellow Rose Of Texas,1955
4,Roger Williams,Autumn Leaves,1955
5,Les Baxter,Unchained Melody,1955
6,Bill Hayes,The Ballad Of Davy Crockett,1955
7,Four Aces,Love Is A Many Splendored Thing,1955
8,McGuire Sisters,Sincerely,1955
9,Pat Boone,Ain't That A Shame,1955
10,Georgia Gibbs,Dance With Me Henry,1955
11,Crazy Otto,Crazy Otto Medley I and II,1955
12,Billy Vaughn,Melody Of Love,1955
13,Tennessee Ernie Ford,Sixteen Tons,1955
14,Frank Sinatra,Learnin' The Blues,1955
15,Fontaine Sisters,Hearts Of Stone,1955
16,Georgia Gibbs,Tweedle Dee,1955
17,Four Lads,Moments To Remember,1955
18,Chordettes,Mr. Sandman,1955
19,Joan Weber,Let Me Go Lover,1955
20,Nat King Cole,A Blossom Fell,1955
21,Al Hibbler,Unchained Melody,1955
22,Fess Parker,The Ballad Of Davy Crockett,1955
23,Art Mooney,Honey Babe,1955
24,Tennessee Ernie Ford,The Ballad Of Davy Crockett,1955
25,Perry Como,Ko Ko Mo,1955
26,Gisele Mackenzie,Hard To Get,1955
27,Ames Brothers,The Naughty Lady Of Shady Lane,1955
28,Jaye P. Morgan,That's All I Want From You,1955
29,Platters,Only You,1955
30,Somethin' Smith and The Redheads,It's A Sin To Tell A Lie,1955
