Position,Artist,Song Title,Year
1,Elvis Presley,All Shook Up,1957
2,Pat Boone,Love Letters In The Sand,1957
3,Diamonds,Little Darlin',1957
4,Tab Hunter,Young Love,1957
5,Jimmy Dorsey,So Rare,1957
6,Pat Boone,Don't Forbid Me,1957
7,Guy Mitchell,Singing The Blues,1957
8,Sonny James,Young Love,1957
9,Elvis Presley,Too Much,1957
10,Perry Como,Round And Round,1957
11,Everly Brothers,Bye Bye Love,1957
12,Debbie Reynolds,Tammy,1957
13,Buddy Knox,Party Doll,1957
14,Elvis Presley,Teddy Bear,1957
15,Harry Belafonte,Banana Boat (Day-O),1957
16,Elvis Presley,Jailhouse Rock,1957
17,Marty Robbins,A White Sport Coat (And A Pink Carnation),1957
18,Del-Vikings,Come Go With Me,1957
19,Everly Brothers,Wake Up Little Susie,1957
20,Sam Cooke,You Send Me,1957
21,Coasters,Searchin',1957
22,Chuck Berry,School Day,1957
23,Ferlin Husky,Gone,1957
24,Paul Anka,Diana,1957
25,Ricky Nelson,A Teenager's Romance,1957
26,Tarriers,The Banana Boat Song,1957
27,Jimmie Rodgers,Honeycomb,1957
28,Jerry Lee Lewis,Whole Lotta Shakin' Goin' On,1957
29,Gale Storm,Dark Moon,1957
30,Crickets,That'll Be The Day,1957
31,Charlie Gracie,Butterfly,1957
32,Frankie Laine,Moonlight Gambler,1957
33,Tommy Sands,Teenage Crush,1957
34,Johnny Mathis,It's Not For Me To Say,1957
35,Rays,Silhouettes,1957
36,Andy Williams,Butterfly,1957
37,Terry Gilkyson,Marianne,1957
38,Fats Domino,I'm Walkin',1957
39,Johnny Mathis,Chances Are,1957
40,Nat King Cole,Send For Me,1957
41,Russ Hamilton,Rainbow,1957
42,Ricky Nelson,Be-bop Baby,1957
43,Larry Williams,Short Fat Fanny,1957
44,Jim Lowe,The Green Door,1957
45,Billy Williams,I'm Gonna Sit Rlght Down And Write Myself A Letter,1957
46,Patti Page,Old Cape Cod,1957
47,Bobbettes,Mr. Lee,1957
48,Fats Domino,Blueberry Hill,1957
49,Del-Vikings,Whispering Bells,1957
50,Fats Domino,Blue Monday,1957
51,Johnny Mathis,Wonderful! Wonderful!,1957
52,Jane Morgan and the Troubadours,Fascination,1957
53,Bobby Helms,My Special Angel,1957
54,Billy Ward and His Dominoes,Star Dust,1957
55,Bill Justis,Raunchy,1957
56,Elvis Presley,Love Me Tender,1957
57,Harry Belafonte,Jamaica Farewell,1957
58,Pat Boone,Why Baby Why,1957
59,Betty Johnson,I Dreamed,1957
60,Buddy Knox,Hula Love,1957
61,Tune Weavers,"Happy, Happy Birthday Baby",1957
62,Ivory Joe Hunter,Since I Met You Baby,1957
63,Jim Reeves,Four Walls,1957
64,Jerry Lewis,Rock-a-Bye Your Baby with a Dixie Melody,1957
65,Mantovani,Around the World,1957
66,Tony Bennett,In the Middle of an Island,1957
67,Johnnie and Joe,Over the Mountain Across the Sea,1957
68,Hilltoppers,Marianne,1957
69,Don Rondo,White Silver Sands,1957
70,Four Lads,Who Needs You,1957
71,Ames Brothers,Melodie D'Amour,1957
72,Thurston Harris,Little Bitty Pretty One,1957
73,Steve Lawrence,Party Doll,1957
74,Coasters,Young Blood,1957
75,Victor Young,Around the World,1957
76,Andy Williams,I Like Your Kind of Love,1957
77,Bonnie Guitar,Dark Moon,1957
78,Mickey and Sylvia,Love Is Strange,1957
79,Chuck Berry,Rock and Roll Music,1957
80,Little Richard,Jenny Jenny,1957
81,Pat Boone,Bernardine,1957
82,Little Richard,Keep a Knockin',1957
83,Sal Mineo,Start Movin',1957
84,Chuck Willis,C.C. Rider,1957
85,Gene Vincent,Lotta Lovin',1957
86,Ernie Freeman,Raunchy,1957
87,Fats Domino,Valley of Tears,1957
88,Pat Boone,Remember You're Mine,1957
89,Guy Mitchell,Rock-a-Billy,1957
90,Margie Rayburn,I'm Available,1957
91,Larry Williams,Bony Maronie,1957
92,Harry Belafonte,Mama Look at Bubu,1957
93,Patience and Prudence,Gonna Get Along Without Ya Now,1957
94,Lavern Baker,Jim Dandy,1957
95,Marvin Rainwater,Gonna Find Me a Bluebird,1957
96,Four Coins,Shangri-La,1957
97,Rusty Draper,Freight Train,1957
98,Elvis Presley,Loving You,1957
99,Jimmy Bowen,I'm Sticking with You,1957
100,Joe Bennett and the Sparkletones,Black Slacks,1957
