Position,Artist,Song Title,Year
1,Gordon Jenkins and The Weavers,Goodnight Irene,1950
2,Nat King Cole,Mona Lisa,1950
3,Anton Karas,Third Man Theme,1950
4,Gary and Bing Crosby,Sam's Song,1950
5,Gary and Bing Crosby,Simple Melody,1950
6,Teresa Brewer,"Music, Music, Music",1950
7,Guy Lombardo,Third Man Theme,1950
8,Red Foley,Chattanoogie Shoe Shine Boy,1950
9,Sammy Kaye,Harbor Lights,1950
10,Sammy Kaye and Don Cornell,It Isn't Fair,1950
11,Eileen Barton,If I Knew You Were Coming I'd've Baked A Cake,1950
12,Kay Starr,Bonaparte's Retreat,1950
13,Gordon Jenkins and The Weavers,"Tzena, Tzena, Tzena",1950
14,Tony Martin,There's No Tomorrow,1950
15,Phil Harris,The Thing,1950
16,Ames Brothers,Sentimental Me,1950
17,Andrews Sisters and Gordon Jenkins,I Wanna Be Loved,1950
18,Patti Page,Tennessee Waltz,1950
19,Andrews Sisters and Gordon Jenkins,"I Can Dream, Can't I",1950
20,Tennessee Ernie Ford and Kay Starr,I'll Never Be Free,1950
21,Patti Page,All My Love,1950
22,Gordon Jenkins,My Foolish Heart,1950
23,Ames Brothers,Rag Mop,1950
24,Bill Snyder,Bewitched,1950
25,Perry Como,Hoop-Dee-Doo,1950
26,Gordon Jenkins,Bewitched,1950
27,Ames Brothers,Can Anyone Explain?,1950
28,Billy Eckstine,My Foolish Heart,1950
29,Bing Crosby,Dear Hearts And Gentle People,1950
30,Frankie Laine,Cry Of The Wild Goose,1950
