Position,Artist,Song Title,Year
1,Leroy Anderson,Blue Tango,1952
2,Kay Starr,Wheel Of Fortune,1952
3,Johnnie Ray,Cry,1952
4,Jo Stafford,You Belong To Me,1952
5,Vera Lynn,"Auf Wiederseh'n, Sweetheart",1952
6,Rosemary Clooney,Half As Much,1952
7,Eddie Fisher and Hugo Winterhalter,Wish You Were Here,1952
8,Patti Page,I Went To Your Wedding,1952
9,Al Martino,Here In My Heart,1952
10,Percy Faith,Delicado,1952
11,Georgia Gibbs,Kiss Of Fire,1952
12,Eddie Fisher and Hugo Winterhalter,Anytime,1952
13,Four Aces,Tell Me Why,1952
14,Ella Mae Morse,Blacksmith Blues,1952
15,Jo Stafford,Jambalaya,1952
16,Rosemary Clooney,Botch-a-me,1952
17,Doris Day,A Guy Is A Guy,1952
18,Johnnie Ray,The Little White Cloud That Cried,1952
19,Frankie Laine,High Noon,1952
20,Eddie Fisher and Hugo Winterhalter,I'm Yours,1952
21,Mills Brothers,Glow Worm,1952
22,Johnny Standley,It's In The Book,1952
23,Pee Wee King,Slow Poke,1952
24,Johnnie Ray,Walkin' My Baby Back Home,1952
25,Les Paul,Meet Mr. Callaghan,1952
26,Don Cornell,I'm Yours,1952
27,Don Cornell,I'll Walk Alone,1952
28,Eddie Fisher and Hugo Winterhalter,Tell Me Why,1952
29,Hilltoppers,Trying,1952
30,Johnnie Ray,"Please, Mr. Sun",1952
