Position,Artist,Song Title,Year
1,Nat King Cole,Too Young,1951
2,Tony Bennett,Because Of You,1951
3,Les Paul and Mary Ford,How High The Moon,1951
4,Rosemary Clooney,Come On-a My House,1951
5,Mario Lanza,Be My Love,1951
6,Weavers,On Top Of Old Smoky,1951
7,Tony Bennett,"Cold, Cold Heart",1951
8,Perry Como,If,1951
9,Mario Lanza,Loveliest Night Of The Year,1951
10,Patti Page,Tennessee Waltz,1951
11,Frankie Laine,Jezebel,1951
12,Tony Martin,I Get Ideas,1951
13,Les Paul and Mary Ford,Mockin' Bird Hill,1951
14,Patti Page,Mockin' Bird Hill,1951
15,Guy Mitchell and Mitch Miller,My Heart Cries For You,1951
16,Eddy Howard,(It's No) Sin,1951
17,Vaughn Monroe,Sound Off,1951
18,Dinah Shore,Sweet Violets,1951
19,Les Paul and Mary Ford,The World Is Waiting For The Sunrise,1951
20,Guy Mitchell and Mitch Miller,"My Truly, Truly Fair",1951
21,Four Aces and Al Alberta,(It's No) Sin,1951
22,Debbie Reynolds and Carleton Carpenter,Aba Daba Honeymoon,1951
23,Frankie Laine,"Rose, Rose I Love You",1951
24,Del Wood,Down Yonder,1951
25,Billy Eckstine,I Apologize,1951
26,Patti Page,Would I Love You,1951
27,Perry Como and The Fontane Sisters,You're Just In Love,1951
28,Ames Brothers and Les Brown,Undecided,1951
29,Phil Harris,The Thing,1951
30,Les Baxter,Because Of You,1951
