Position,Artist,Song Title,Year
1,Percy Faith,Song From Moulin Rouge,1953
2,Les Paul and Mary Ford,Vaya Con Dios,1953
3,Patti Page,Doggie In The Window,1953
4,Eddie Fisher,I'm Walking Behind You,1953
5,Ames Brothers,"You, You, You",1953
6,Teresa Brewer,Till I Waltz Again With You,1953
7,Les Baxter,April In Portugal,1953
8,Perry Como,No Other Love,1953
9,Perry Como,Don't Let The Stars Get In Your Eyes,1953
10,Frankie Laine,I Believe,1953
11,Pee Wee Hunt,Oh,1953
12,Frank Chacksfield,Ebb Tide,1953
13,Nat King Cole,Pretend,1953
14,Richard Hayman,Ruby,1953
15,Stan Freberg,St. George And The Dragonet,1953
16,Hilltoppers,P.S. I Love You,1953
17,Gaylords,Tell Me You're Mine,1953
18,Julius La Rosa,Eh Cumpari,1953
19,Tony Bennett,Rags To Riches,1953
20,Silvana Mangano,Anna,1953
21,Perry Como,Say You're Mine Again,1953
22,Ray Anthony,Dragnet,1953
23,Frankie Laine and Jimmy Boyd,Tell Me A Story,1953
24,June Valli,Crying In The Chapel,1953
25,Joni James,Why Don't You Believe Me,1953
26,Joni James,Your Cheating Heart,1953
27,Frank Chacksfield,Limelight (Terry's Theme),1953
28,Eddie Fisher,With These Hands,1953
29,Eartha Kitt,C'est Si Bon,1953
30,Joni James,Have You Heard?,1953
